3443 -56.00000000 -30 -2.08130081
3444 -64.00000000 -34 -2.09927431
3445 -52.00000000 -30 -2.11375508
3446 -64.00000000 -34 -2.13170873
3447 -64.00000000 -34 -2.14965197
3448 -72.00000000 -36 -2.16990432
3449 -64.00000000 -34 -2.18782609
3450 -72.00000000 -36 -2.20805564
3451 -72.00000000 -36 -2.22827346
3452 -72.00000000 -36 -2.24847958
3453 -64.00000000 -34 -2.26635785
3454 -56.00000000 -32 -2.28191027
3455 -56.00000000 -32 -2.29745370
3456 -64.00000000 -34 -2.31530229
3457 -56.00000000 -32 -2.33082707
3458 -64.00000000 -34 -2.34865568
3459 -48.00000000 -28 -2.36184971
3460 -44.00000000 -28 -2.37388038
3461 -56.00000000 -32 -2.38937031
3462 -72.00000000 -36 -2.40947156
3463 -60.00000000 -32 -2.42609700
3464 -64.00000000 -34 -2.44386724
3465 -72.00000000 -36 -2.46393537
3466 -72.00000000 -36 -2.48399192
3467 -72.00000000 -36 -2.50403691
3468 -72.00000000 -36 -2.52407034
3469 -72.00000000 -36 -2.54409222
3470 -72.00000000 -36 -2.56410256
3471 -64.00000000 -34 -2.58179724
3472 -72.00000000 -36 -2.60178520
3473 -56.00000000 -30 -2.61715602
